gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	APOE+ FIB	CD40LG+ TC	COL11A1+ FIB	FBN1+ FIB	Inflam. DC	Inflam. FIB	Inflam. TC	LC	NKT	TC	cDC1	cDC2
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.0	0.023	0.014	0.0	0.0	0.017	0.0	0.526	0.0	0.011	0.0	0.154
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.0	0.023	0.014	0.0	0.0	0.017	0.0	0.526	0.0	0.011	0.0	0.154
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.063	0.02	0.038	0.016	0.0	0.124	0.0	0.055	0.0	0.0	0.0	0.117
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.063	0.02	0.038	0.016	0.0	0.124	0.0	0.055	0.0	0.0	0.0	0.117
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.063	0.02	0.038	0.016	0.0	0.124	0.0	0.055	0.0	0.0	0.0	0.117
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.093	0.068	0.062	0.058	0.0	0.007	0.026	0.169	0.054	0.024	0.0	0.197
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.01	0.0	0.0	0.011	0.0	0.033	0.0	0.111	0.0	0.014	0.0	0.025
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	0.015	0.0	0.0	0.005	0.0	0.03	0.0	0.0	0.0	0.019	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.015	0.0	0.0	0.005	0.0	0.03	0.0	0.0	0.0	0.019	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.015	0.0	0.0	0.005	0.0	0.03	0.0	0.0	0.0	0.019	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	0.015	0.0	0.0	0.005	0.0	0.03	0.0	0.0	0.0	0.019	0.0	0.0
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.125	0.0	0.109	0.146	0.0	0.176	0.0	0.041	0.027	0.0	0.0	0.069
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.125	0.0	0.109	0.146	0.0	0.176	0.0	0.041	0.027	0.0	0.0	0.069
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.01	0.0	0.007	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	DAGLA	0.01	0.0	0.007	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.023	0.03	0.015	0.011	0.0	0.012	0.0	0.065	0.0	0.016	0.0	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	DAGLB	0.023	0.03	0.015	0.011	0.0	0.012	0.0	0.065	0.0	0.016	0.0	0.0
