gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	APOE+ FIB	CD40LG+ TC	COL11A1+ FIB	FBN1+ FIB	Inflam. DC	Inflam. FIB	Inflam. TC	LC	NKT	TC	cDC1	cDC2
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.0	0.025	0.017	0.0	0.0	0.019	0.0	0.526	0.0	0.014	0.0	0.158
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.07	0.022	0.045	0.017	0.0	0.138	0.0	0.055	0.0	0.0	0.0	0.12
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.07	0.022	0.045	0.017	0.0	0.138	0.0	0.055	0.0	0.0	0.0	0.12
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.07	0.022	0.045	0.017	0.0	0.138	0.0	0.055	0.0	0.0	0.0	0.12
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.101	0.073	0.074	0.063	0.0	0.008	0.029	0.169	0.056	0.03	0.0	0.203
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.147	0.0	0.129	0.157	0.0	0.196	0.0	0.041	0.028	0.0	0.0	0.071
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	DAGLB	0.027	0.032	0.017	0.012	0.0	0.013	0.0	0.065	0.0	0.021	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBA	0.005	0.0	0.099	0.012	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBA	0.005	0.0	0.099	0.012	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBB	0.005	0.0	0.099	0.012	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBB	0.005	0.0	0.099	0.012	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0010C54C6	ALDH1A1	0.265	0.016	0.133	0.254	0.0	0.294	0.0	0.0	0.093	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC048F01E8D	ALDH1A1	0.265	0.016	0.133	0.254	0.0	0.294	0.0	0.0	0.093	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC065AB1F5E	ALDH1A1	0.265	0.016	0.133	0.254	0.0	0.294	0.0	0.0	0.093	0.0	0.0	0.0
