gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	APOE+ FIB	CD40LG+ TC	COL11A1+ FIB	FBN1+ FIB	Inflam. DC	Inflam. FIB	Inflam. TC	LC	NKT	TC	cDC1	cDC2
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.0	0.013	0.006	0.0	0.0	0.016	0.0	0.45	0.0	0.006	0.0	0.135
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.033	0.006	0.024	0.01	0.0	0.065	0.0	0.05	0.0	0.0	0.0	0.054
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.033	0.006	0.024	0.01	0.0	0.065	0.0	0.05	0.0	0.0	0.0	0.054
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.033	0.006	0.024	0.01	0.0	0.065	0.0	0.05	0.0	0.0	0.0	0.054
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.054	0.032	0.042	0.039	0.0	0.016	0.026	0.15	0.029	0.012	0.0	0.108
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.066	0.0	0.054	0.086	0.0	0.113	0.0	0.05	0.029	0.0	0.0	0.054
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	DAGLB	0.012	0.013	0.006	0.006	0.0	0.016	0.0	0.05	0.0	0.006	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBA	0.004	0.0	0.048	0.01	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBA	0.004	0.0	0.048	0.01	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBB	0.004	0.0	0.048	0.01	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0
