complex_name,uniprot_1,uniprot_2,uniprot_3,uniprot_4,uniprot_5,complex_key,symbol_1,symbol_2,symbol_3,symbol_4,symbol_5
Dehydroepiandrosterone_bySTS,Q8TF42,,,,,Q8TF42,UBS3B,,,,
DHEAsulfate_bySULT2B,P50225,,,,,P50225,ST1A1,,,,
Dihydrotestosterone_bySRD5A3,Q9H8P0,,,,,Q9H8P0,PORED,,,,
Dihydrotestosterone_bySRD5A1,P18405,,,,,P18405,S5A1,,,,
Dihydrotestosterone_bySRD5A2,P31213,,,,,P31213,S5A2,,,,
DHEAsulfate_bySULT1E1,P49888,,,,,P49888,ST1E1,,,,
DHEAsulfate_bySULT2A1,Q06520,,,,,Q06520,ST2A1,,,,
Desoxycorticosterone_byCYP21A2,P08686,,,,,P08686,CP21A,,,,
Desmosterol_byDHCR7,Q9UBM7,,,,,Q9UBM7,DHCR7,,,,
12oxoLeukotrieneB4_byPTGR1,Q14914,,,,,Q14914,PTGR1,,,,
22Hydroxycholesterol_byCYP11A1,P05108,,,,,P05108,CP11A,,,,
22Hydroxycholesterol_byCYP3A4,P08684,,,,,P08684,CP3A4,,,,
2arachidonoylglycerol_byDAGLA,Q9Y4D2,,,,,Q9Y4D2,DGLA,,,,
2arachidonoylglycerol_byDAGLB,Q8NCG7,,,,,Q8NCG7,DGLB,,,,
5alphaDihydroprogesterone_byDHRS9,Q9BPW9,,,,,Q9BPW9,DHRS9,,,,
5SHpETE_byALOX5,P09917,Q16873,P20292,,,P09917_P20292_Q16873,LOX5,LTC4S,AL5AP,,
Acetylcholine_byCHAT,P28329,,,,,P28329,CLAT,,,,
AcetylcholineReceptor_a2b3,Q15822,Q05901,,,,Q05901_Q15822,ACHA2,ACHB3,,,
AcetylcholineReceptor_a3b2a5,P32297,P17787,P30532,,,P17787_P30532_P32297,ACHA3,ACHB2,ACHA5,,
AcetylcholineReceptor_a3b4,P32297,P30926,,,,P30926_P32297,ACHA3,ACHB4,,,
AcetylcholineReceptor_a3b4a5,P32297,P30926,P30532,,,P30532_P30926_P32297,ACHA3,ACHB4,ACHA5,,
AcetylcholineReceptor_a4b2,P43681,P17787,,,,P17787_P43681,ACHA4,ACHB2,,,
AcetylcholineReceptor_a6a4b3,Q15825,P43681,Q05901,,,P43681_Q05901_Q15825,ACHA6,ACHA4,ACHB3,,
AcetylcholineReceptor_a6b3b4,Q15825,Q05901,P30926,,,P30926_Q05901_Q15825,ACHA6,ACHB3,ACHB4,,
Activin_ligand_ab,P08476,P09529,,,,P08476_P09529,INHBA,INHBB,,,
Inhibin_ligand_A,P08476,P05111,,,,P05111_P08476,INHBA,INHA,,,
Inhibin_ligand_B,P09529,P05111,,,,P05111_P09529,INHBB,INHA,,,
ACVL1_ACVR2A,P37023,P27037,,,,P27037_P37023,ACVL1,AVR2A,,,
ACVL1_BMPR2,P37023,Q13873,,,,P37023_Q13873,ACVL1,BMPR2,,,
ACVR_1A2A_receptor,Q04771,P27037,,,,P27037_Q04771,ACVR1,AVR2A,,,
ACVR_1A2B_receptor,Q04771,Q13705,,,,Q04771_Q13705,ACVR1,AVR2B,,,
ACVR_1B2A_receptor,P36896,P27037,,,,P27037_P36896,ACV1B,AVR2A,,,
ACVR_1B2B_receptor,P36896,Q13705,,,,P36896_Q13705,ACV1B,AVR2B,,,
ACVR_1C2A_receptor,Q8NER5,P27037,,,,P27037_Q8NER5,ACV1C,AVR2A,,,
ACVR_1C2B_receptor,Q8NER5,Q13705,,,,Q13705_Q8NER5,ACV1C,AVR2B,,,
ACVR1_BMPR2,Q04771,Q13873,,,,Q04771_Q13873,ACVR1,BMPR2,,,
ADR_complex,Q96A54,Q86V24,,,,Q86V24_Q96A54,ADR1,ADR2,,,
AldosteroneCorticosterone_byCYP11B2,P19099,,,,,P19099,C11B2,,,,
AMY1_receptor,P30988,O60894,,,,O60894_P30988,CALCR,RAMP1,,,
AMY2_receptor,P30988,O60895,,,,O60895_P30988,CALCR,RAMP2,,,
AMY3_receptor,P30988,O60896,,,,O60896_P30988,CALCR,RAMP3,,,
Androstenedione_byCYP17A1,P05093,,,,,P05093,CP17A,,,,
Androsterone_byHSD17B6,O14756,,,,,O14756,H17B6,,,,
atRetinoicAcid_byALDH1A1,P00352,,,,,P00352,AL1A1,,,,
atRetinoicAcid_byALDH1A2,O94788,,,,,O94788,AL1A2,,,,
atRetinoicAcid_byALDH1A3,P47895,,,,,P47895,AL1A3,,,,
BCR_CD45_CD22,P11274,P08575,P20273,,,P08575_P11274_P20273,BCR,PTPRC,CD22,,
BetaKlotho_FGFR4,P22455,Q86Z14,,,,P22455_Q86Z14,FGFR4,KLOTB,,,
BMP9_BMP15,Q9UK05,O95972,,,,O95972_Q9UK05,GDF2,BMP15,,,
