id_gene,ensembl,gene_name,hgnc_symbol,protein_name,protein_id,uniprot_id
472,ENSG00000286070,GGT1,GGT1,GGT1_HUMAN,396,P19440
989,ENSG00000285456,LTB4R,LTB4R,LT4R1_HUMAN,782,Q15722
1240,ENSG00000285203,LTB4R2,LTB4R2,LT4R2_HUMAN,984,Q9NPC1
1071,ENSG00000285070,ADIPOR2,ADIPOR2,ADR2_HUMAN,843,Q86V24
500,ENSG00000284816,EPHA1,EPHA1,EPHA1_HUMAN,419,P21709
715,ENSG00000284510,KIR2DL3,KIR2DL3,KI2L3_HUMAN,592,P43628
740,ENSG00000284426,KIR3DL1,KIR3DL1,KI3L1_HUMAN,593,P43629
750,ENSG00000284381,KIR3DL2,KIR3DL2,KI3L2_HUMAN,594,P43630
1493,ENSG00000283946,CHRNB1,CHRNB1,ACHB_HUMAN,1159,P11230
1009,ENSG00000283887,LTC4S,LTC4S,LTC4S_HUMAN,1083,Q16873
1651,ENSG00000283859,NLGN2,NLGN2,NLGN2_HUMAN,1265,Q8NFZ4
765,ENSG00000283448,GPR1,GPR1,GPR1_HUMAN,596,P46091
1516,ENSG00000282932,PTPRD,PTPRD,PTPRD_HUMAN,1287,P23468
338,ENSG00000282608,ADORA3,ADORA3,AA3R_HUMAN,301,P0DMS8
831,ENSG00000281917,SLC16A1,SLC16A1,MOT1_HUMAN,650,P53985
127,ENSG00000281324,LRP6,LRP6,LRP6_HUMAN,118,O75581
713,ENSG00000278821,KIR2DL1,KIR2DL1,KI2L1_HUMAN,591,P43626
344,ENSG00000278567,CCL3,CCL3,CCL3_HUMAN,304,P10147
624,ENSG00000278195,SSTR3,SSTR3,SSR3_HUMAN,519,P32745
850,ENSG00000278167,CCL18,CCL18,CCL18_HUMAN,664,P55774
1037,ENSG00000278154,LAIR1,LAIR1,LAIR1_HUMAN,816,Q6GTX8
382,ENSG00000277943,CCL4,CCL4,CCL4_HUMAN,333,P13236
4,ENSG00000277893,SRD5A2,SRD5A2,S5A2_HUMAN,1130,P31213
1110,ENSG00000277807,LILRB1,LILRB1,LIRB1_HUMAN,874,Q8NHL6
854,ENSG00000277641,WNT3,WNT3,WNT3_HUMAN,668,P56703
790,ENSG00000277339,NPBWR2,NPBWR2,NPBW2_HUMAN,613,P48146
1003,ENSG00000277236,CCL14,CCL14,CCL14_HUMAN,795,Q16627
863,ENSG00000277092,LILRA4,LILRA4,LIRA4_HUMAN,676,P59901
1256,ENSG00000277069,RXFP3,RXFP3,RL3R1_HUMAN,998,Q9NSD7
1594,ENSG00000276996,SLC6A3,SLC6A3,SC6A3_HUMAN,1300,Q01959
979,ENSG00000276977,PDCD1,PDCD1,PDCD1_HUMAN,776,Q15116
510,ENSG00000276825,DRD4,DRD4,DRD4_HUMAN,428,P21917
66,ENSG00000276799,WNT9B,WNT9B,WNT9B_HUMAN,70,O14905
640,ENSG00000276191,CRHR1,CRHR1,CRFR1_HUMAN,533,P34998
1089,ENSG00000276146,LILRB2,LILRB2,LIRB2_HUMAN,857,Q8N423
847,ENSG00000276114,CCL23,CCL23,CCL23_HUMAN,663,P55773
11,ENSG00000276085,CCL3L1,CCL3L1,CL3L1_HUMAN,374,P16619
450,ENSG00000276051,HLA-G,HLA-G,HLAG_HUMAN,1336,P17693
1107,ENSG00000275730,LILRB4,LILRB4,LIRB4_HUMAN,873,Q8NHJ6
1005,ENSG00000275718,CCL15,CCL15,CCL15_HUMAN,796,Q16663
327,ENSG00000275565,ALOX5,ALOX5,LOX5_HUMAN,294,P09917
45,ENSG00000275555,DLL1,DLL1,DLL1_HUMAN,53,O00548
977,ENSG00000275434,KIR3DS1,KIR3DS1,KI3S1_HUMAN,774,Q14943
83,ENSG00000275152,CCL16,CCL16,CCL16_HUMAN,79,O15467
326,ENSG00000274473,SCT,SCT,SECR_HUMAN,293,P09683
1220,ENSG00000274338,CATSPERB,CATSPERB,CTSRB_HUMAN,1091,Q9H7T0
1348,ENSG00000274334,VASN,VASN,VASN_HUMAN,1325,Q6EMK4
459,ENSG00000274286,ADRA2B,ADRA2B,ADA2B_HUMAN,385,P18089
386,ENSG00000274233,CCL5,CCL5,CCL5_HUMAN,336,P13501
1340,ENSG00000274143,KIR2DL5A,KIR2DL5A,KI2LA_HUMAN,1248,Q8N109
1135,ENSG00000273936,TNFRSF14,TNFRSF14,TNR14_HUMAN,895,Q92956
871,ENSG00000273686,B2M,B2M,B2MG_HUMAN,680,P61769
1605,ENSG00000273079,GRIN2B,GRIN2B,NMDE2_HUMAN,1143,Q13224
534,ENSG00000272398,CD24,CD24,CD24_HUMAN,1338,P25063
1747,ENSG00000268089,GABRQ,GABRQ,GBRT_HUMAN,1221,Q9UN88
1043,ENSG00000267673,FDX2,FDX2,FDX2_HUMAN,1112,Q6P4F2
1434,ENSG00000267631,CGB1,CGB1,CGB1_HUMAN,1184,A6NKQ9
134,ENSG00000267534,S1PR2,S1PR2,S1PR2_HUMAN,123,O95136
844,ENSG00000266524,GDF10,GDF10,GDF10_HUMAN,661,P55107
1540,ENSG00000265107,GJA5,GJA5,CXA5_HUMAN,1193,P36382
1290,ENSG00000263761,GDF2,GDF2,GDF2_HUMAN,1031,Q9UK05
671,ENSG00000262795,IFNGR2,IFNGR2,INGR2_HUMAN,558,P38484
304,ENSG00000262418,PTPRC,PTPRC,PTPRC_HUMAN,273,P08575
435,ENSG00000261371,PECAM1,PECAM1,PECA1_HUMAN,368,P16284
522,ENSG00000260314,MRC1,MRC1,MRC1_HUMAN,439,P22897
183,ENSG00000259384,GH1,GH1,SOMA_HUMAN,169,P01241
262,ENSG00000259207,ITGB3,ITGB3,ITB3_HUMAN,236,P05106
893,ENSG00000258839,MC1R,MC1R,MSHR_HUMAN,702,Q01726
12,ENSG00000256797,KLRF2,KLRF2,KLRF2_HUMAN,35,D3W0D1
191,ENSG00000254647,INS,INS,INS_HUMAN,177,P01308
337,ENSG00000248329,APELA,APELA,ELA_HUMAN,300,P0DMC3
813,ENSG00000248099,INSL3,INSL3,INSL3_HUMAN,633,P51460
332,ENSG00000244731,C4A,C4A,CO4A_HUMAN,296,P0C0L4
128,ENSG00000243709,LEFTY1,LEFTY1,LFTY1_HUMAN,119,O75610
928,ENSG00000243646,IL10RB,IL10RB,I10R2_HUMAN,728,Q08334
142,ENSG00000243509,TNFRSF6B,TNFRSF6B,TNF6B_HUMAN,131,O95407
826,ENSG00000243364,EFNA4,EFNA4,EFNA4_HUMAN,645,P52798
547,ENSG00000242689,CNTF,CNTF,CNTF_HUMAN,459,P26441
35,ENSG00000241563,CORT,CORT,CORT_HUMAN,43,O00230
384,ENSG00000241186,TDGF1,TDGF1,TDGF1_HUMAN,334,P13385
63,ENSG00000240505,TNFRSF13B,TNFRSF13B,TR13B_HUMAN,68,O14836
90,ENSG00000239697,TNFSF12,TNFSF12,TNF12_HUMAN,84,O43508
1016,ENSG00000238289,MICB,MICB,MICB_HUMAN,800,Q29980
1169,ENSG00000238196,NOTCH4,NOTCH4,NOTC4_HUMAN,923,Q99466
915,ENSG00000238114,LTB,LTB,TNFC_HUMAN,723,Q06643
74,ENSG00000237808,NCR3,NCR3,NCTR3_HUMAN,71,O14931
593,ENSG00000237508,HLA-F,HLA-F,HLAF_HUMAN,1345,P30511
1729,ENSG00000237112,GABBR1,GABBR1,GABR1_HUMAN,1208,Q9UBS5
28,ENSG00000237022,HLA-C,HLA-C,HLAC_HUMAN,38,P10321
257,ENSG00000236637,IFNA4,IFNA4,IFNA4_HUMAN,232,P05014
396,ENSG00000236632,HLA-E,HLA-E,HLAE_HUMAN,342,P13747
569,ENSG00000235712,RXRB,RXRB,RXRB_HUMAN,1128,P28702
400,ENSG00000235708,COL11A2,COL11A2,COBA2_HUMAN,343,P13942
15,ENSG00000235657,HLA-A,HLA-A,HLAA_HUMAN,36,P04439
1017,ENSG00000235233,MICA,MICA,MICA_HUMAN,801,Q29983
210,ENSG00000234829,IFNA17,IFNA17,IFN17_HUMAN,189,P01571
1775,ENSG00000234745,HLA-B,HLA-B,HLAB_HUMAN,37,P01889
771,ENSG00000234651,BAG6,BAG6,BAG6_HUMAN,600,P46379
30,ENSG00000233056,ERVH48-1,ERVH48-1,SUPYN_HUMAN,1334,M5A8F1
197,ENSG00000232810,TNF,TNF,TNFA_HUMAN,181,P01375
6,ENSG00000231852,CYP21A2,CYP21A2,CP21A_HUMAN,1141,P08686
196,ENSG00000231408,LTA,LTA,TNFB_HUMAN,180,P01374
209,ENSG00000228083,IFNA14,IFNA14,IFN14_HUMAN,188,P01570
633,ENSG00000225950,NTF4,NTF4,NTF4_HUMAN,527,P34130
1233,ENSG00000221866,PLXNA4,PLXNA4,PLXA4_HUMAN,978,Q9HCM2
1067,ENSG00000219438,TAFA5,TAFA5,TAFA5_HUMAN,5,Q7Z5A7
