id_interaction,id_cp_interaction,source,annotation_strategy,is_ppi,curator,directionality,classification,unique_int,ligand,from,receptor,to
0,CPI-SC0A2DB962D,PMID:12392763,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Cadherin,P12830_P05556_P17301,P12830,CDH1,P05556_P17301,integrin_a2b1_complex
1,CPI-SC0B5CEA47D,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q03692_P05556_P17301,Q03692,COL10A1,P05556_P17301,integrin_a2b1_complex
2,CPI-SC0C8B7BCBB,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P12107_P05556_P17301,P12107,COL11A1,P05556_P17301,integrin_a2b1_complex
3,CPI-SC0D3C12C3F,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P13942_P05556_P17301,P13942,COL11A2,P05556_P17301,integrin_a2b1_complex
4,CPI-SC0B86B7CED,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q99715_P05556_P17301,Q99715,COL12A1,P05556_P17301,integrin_a2b1_complex
5,CPI-SC0FA343CEF,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q5TAT6_P05556_P17301,Q5TAT6,COL13A1,P05556_P17301,integrin_a2b1_complex
6,CPI-SC0CCCF9A7F,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q05707_P05556_P17301,Q05707,COL14A1,P05556_P17301,integrin_a2b1_complex
7,CPI-SC0E85E1FB0,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P39059_P05556_P17301,P39059,COL15A1,P05556_P17301,integrin_a2b1_complex
8,CPI-SC0956F4A31,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q07092_P05556_P17301,Q07092,COL16A1,P05556_P17301,integrin_a2b1_complex
9,CPI-SC06EEEC092,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,Q9UMD9_P05556_P17301,Q9UMD9,COL17A1,P05556_P17301,integrin_a2b1_complex
10,CPI-SC04BD52124,uniprot,curated,TRUE,RVentoTormo,Adhesion-Adhesion,Adhesion by Collagen/Integrin,P39060_P05556_P17301,P39060,COL18A1,P05556_P17301,integrin_a2b1_complex
