interaction_name,pathway_name,uniprot_ligand,uniprot_receptor,agonist,antagonist,co_A_receptor,co_I_receptor,annotation,interaction_name_2,evidence,is_neurotransmitter,ligand.symbol,ligand.family,ligand.location,ligand.keyword,ligand.secreted_type,ligand.transmembrane,receptor.symbol,receptor.family,receptor.location,receptor.keyword,receptor.surfaceome_main,receptor.surfaceome_sub,receptor.adhesome,receptor.secreted_type,receptor.transmembrane,version,unique_int
TGFB1_TGFBR1_TGFBR2,TGFb,P01137,P36897_P37173,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,Secreted Signaling,TGFB1 - (TGFBR1+TGFBR2),KEGG: hsa04350,FALSE,TGFB1,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Glycoprotein",growth factor,FALSE,"TGFBR2, TGFBR1","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P01137_P36897_P37173
TGFB2_TGFBR1_TGFBR2,TGFb,P61812,P36897_P37173,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,Secreted Signaling,TGFB2 - (TGFBR1+TGFBR2),KEGG: hsa04350,FALSE,TGFB2,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Disulfide bond, Secreted, Extracellular matrix, Mitogen, Growth factor, Direct protein sequencing, 3D-structure, Cleavage on pair of basic residues, Alternative splicing, Aortic aneurysm, Glycoprotein",growth factor,FALSE,"TGFBR2, TGFBR1","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P61812_P36897_P37173
TGFB3_TGFBR1_TGFBR2,TGFb,P10600,P36897_P37173,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,Secreted Signaling,TGFB3 - (TGFBR1+TGFBR2),KEGG: hsa04350,FALSE,TGFB3,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein",cytokine;growth factor,TRUE,"TGFBR2, TGFBR1","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P10600_P36897_P37173
TGFB1_ACVR1B_TGFBR2,TGFb,P01137,P36896_P37173,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,Secreted Signaling,TGFB1 - (ACVR1B+TGFBR2),PMID: 27449815,FALSE,TGFB1,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Glycoprotein",growth factor,FALSE,"TGFBR2, ACVR1B","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P01137_P36896_P37173
TGFB1_ACVR1C_TGFBR2,TGFb,P01137,P37173_Q8NER5,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,Secreted Signaling,TGFB1 - (ACVR1C+TGFBR2),PMID: 27449815,FALSE,TGFB1,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Glycoprotein",growth factor,FALSE,"TGFBR2, ACVR1C","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P01137_P37173_Q8NER5
TGFB2_ACVR1B_TGFBR2,TGFb,P61812,P36896_P37173,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,Secreted Signaling,TGFB2 - (ACVR1B+TGFBR2),PMID: 27449815,FALSE,TGFB2,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Disulfide bond, Secreted, Extracellular matrix, Mitogen, Growth factor, Direct protein sequencing, 3D-structure, Cleavage on pair of basic residues, Alternative splicing, Aortic aneurysm, Glycoprotein",growth factor,FALSE,"TGFBR2, ACVR1B","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P61812_P36896_P37173
TGFB2_ACVR1C_TGFBR2,TGFb,P61812,P37173_Q8NER5,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,Secreted Signaling,TGFB2 - (ACVR1C+TGFBR2),PMID: 27449815,FALSE,TGFB2,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Disulfide bond, Secreted, Extracellular matrix, Mitogen, Growth factor, Direct protein sequencing, 3D-structure, Cleavage on pair of basic residues, Alternative splicing, Aortic aneurysm, Glycoprotein",growth factor,FALSE,"TGFBR2, ACVR1C","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P61812_P37173_Q8NER5
TGFB3_ACVR1B_TGFBR2,TGFb,P10600,P36896_P37173,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,Secreted Signaling,TGFB3 - (ACVR1B+TGFBR2),PMID: 27449815,FALSE,TGFB3,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein",cytokine;growth factor,TRUE,"TGFBR2, ACVR1B","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P10600_P36896_P37173
TGFB3_ACVR1C_TGFBR2,TGFb,P10600,P37173_Q8NER5,TGFb agonist,TGFb antagonist,,TGFb inhibition receptor,Secreted Signaling,TGFB3 - (ACVR1C+TGFBR2),PMID: 27449815,FALSE,TGFB3,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein",cytokine;growth factor,TRUE,"TGFBR2, ACVR1C","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P10600_P37173_Q8NER5
TGFB1_ACVR1_TGFBR1,TGFb,P01137,P36897_P37173_Q04771,,,,,Secreted Signaling,TGFB1 - (ACVR1+TGFBR1),PMID: 29376829,FALSE,TGFB1,TGF-beta,"Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Glycoprotein",growth factor,FALSE,"TGFBR2, ACVR1, TGFBR1","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation",Receptors,Act.TGFB;Kinase,,,TRUE,CellChatDB v1,P01137_P36897_P37173_Q04771
